sku;Preis;Inhalt / Volumen;Grössenangaben;Napfart;Marke;Material;Durchmesser/Länge;Form;Farbe;Eigenschaften
403060;8,9;40 – 100ml;;Tränke;Ferplast;Kunststoff;;;Blau;
100623;5,9;301 – 600ml;;Standard-Napf;swisspet;Keramik;10.1 – 15cm;Rund;Braun;
400864;6,5;301 – 600ml;40 – 100ml;Standard-Napf;swisspet;Keramik;5 – 10cm;Rund;Beige;
400866;5,9;301 – 600ml;8.5x3cm;Standard-Napf;swisspet;Keramik;5 – 10cm;Rund;Weiss||Mit Muster;
546815;3,5;101 – 300ml;200ml;Standard-Napf;swisspet;Kunststoff;10.1 – 15cm;Rund;Grün;
400817;11,5;101 – 300ml;200ml;Standard-Napf;swisspet;Melamin;10.1 – 15cm;Rund;Grün;
400585;26,5;301 – 600ml;360ml;Tränke;swisspet;Keramik;;Rund;Weiss||Grau;
400758;6,5;301 – 600ml;8x3.5cm;Standard-Napf;swisspet;Keramik;5 – 10cm;Rund;Weiss||Bunt||Mit Muster;
400759;8,5;301 – 600ml;11x4.5cm;Standard-Napf;swisspet;Keramik;10.1 – 15cm;Rund;Weiss||Bunt||Mit Muster;
400645;4,9;601 – 1000ml;10x5.8x2cm;Standard-Napf;swisspet;Keramik;10.1 – 15cm;;Beige;
400646;6,5;1 – 3 Liter;12.7x8.4x2cm;Standard-Napf;swisspet;Keramik;10.1 – 15cm;;Beige;
400647;8,9;1 – 3 Liter;15.8x10.3x3.3cm;Standard-Napf;swisspet;Keramik;15 – 25cm;;Beige;
400648;12,5;601 – 1000ml;19.2x12.8x3.7cm;Standard-Napf;swisspet;Keramik;15 – 25cm;;Beige;
100566;4,8;301 – 600ml;7x4.5x12cm;Trinkbrunnen;swisspet;Kunststoff;10.1 – 15cm;Eckig;Weiss||Blau||Rot;
100546;6,5;301 – 600ml;6x8x15cm;Trinkbrunnen;swisspet;Kunststoff;10.1 – 15cm;Eckig;Weiss||Braun;
100548;9,5;601 – 1000ml;7.4x11.2x15.2cm;Trinkbrunnen;swisspet;Kunststoff;15 – 25cm;Rund;Beige;
100565;3,8;40 – 100ml;75ml;Trinkbrunnen;swisspet;Kunststoff;15 – 25cm;Rund;Gelb||Blau||Rot||Weiss;
100545;3,8;40 – 100ml;65ml;Tränke;swisspet;Kunststoff;10.1 – 15cm;Eckig;Weiss;
100549;12,5;1 – 3 Liter;7.4x14.8x15.5cm;Futterautomat;Ferplast;Kunststoff;15 – 25cm;Rund;Weiss;
100547;6,9;601 – 1000ml;;Futterautomat;Ferplast;Kunststoff;15 – 25cm;Eckig;Schwarz||Weiss;
